"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Stier, C.; Werle, D.; Koziolek, A.","Stier, Christian (56736063100); Werle, Dominik (56152484100); Koziolek, Anne (55094731500)","56736063100; 56152484100; 55094731500","Deriving power models for architecture-level energy efficiency analyses","2017","Lecture Notes in Computer Science","10497 LNCS","","","214","229","0","1","10.1007/978-3-319-66583-2_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029409208&doi=10.1007%2F978-3-319-66583-2_14&partnerID=40&md5=721e8f4ffadb25ecacbf01f14329f147","In early design phases and during software evolution, design-time energy efficiency analyses enable software architects to reason on the effect of design decisions on energy efficiency. Energy efficiency analyses rely on accurate power models to estimate power consumption. Deriving power models that are both accurate and usable for design time predictions requires extensive measurements and manual analysis. Existing approaches that aim to automate the extraction of power models focus on the construction of models for runtime estimation of power consumption. Power models constructed by these approaches do not allow users to identify the central set of system metrics that impact energy efficiency prediction accuracy. The identification of these central metrics is important for design time analyses, as an accurate prediction of each metric incurs modeling effort. We propose a methodology for the automated construction of multi-metric power models using systematic experimentation. Our approach enables the automated training and selection of power models for the design time prediction of power consumption. We validate our approach by evaluating the prediction accuracy of derived power models for a set of enterprise and data-intensive application benchmarks. © 2017 Elsevier B.V., All rights reserved.","","Benchmarking; Electric power utilization; Forecasting; Software architecture; Accurate prediction; Automated construction; Construction of models; Data-intensive application; Early design phasis; Efficiency predictions; Energy efficiency analysis; Systematic experimentation; Energy efficiency","Conference paper","Final","","Scopus","2-s2.0-85029409208"
"Salam, M.; Khan, S.U.","Salam, Muhammad (56992457000); Khan, Siffat Ullah (57191171688)","56992457000; 57191171688","Risks mitigation practices for multi-sourcing vendors in green software development","2017","Proceedings of the Pakistan Academy of Sciences: Part A","54","1A","","71","87","0","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021934764&partnerID=40&md5=115ff3de3f83a04559d3871ab8612911","Green and sustainable software development is the cry of the day and vendors are constantly striving to develop such software that have less hazardous impact on environment, economy and human beings. However developing green software in the context of software multi-sourcing is not a risk free activity. Software development multi-sourcing vendor organizations have focused on the adaptation of green practices in software development projects. In our previous study we have identified eight critical risk factors (CRFs) via systematic literature review (SLR) process, in the development of green and sustainable software. These CRFs are: ‘lack of green RE practices’, ‘high power consumption’, ‘high carbon emission throughout the software development’, ‘poor software design (architectural, logical, physical and user interface)’, ‘lack of ICTs for coordination and communication’, ‘high resources requirements’, ‘lack of coding standards’, and ‘lack of green software development knowledge’. The proactive management of the identified risks might allow software development multi-sourcing vendor organizations to develop green and sustainable software successfully. In this study we have presented the identified 76 practices for addressing the aforementioned eight critical risk factors. The practices were extracted from sample of (N=102) research papers via SLR process. We have validated the identified 76 solutions/practices from 108 relevant experts in software development multi-sourcing industry via questionnaire survey. The findings of this study may help vendor organizations to address/mitigate the CRFs using the identified solutions in order to develop green and sustainable software in multi-sourced software projects. © 2019 Elsevier B.V., All rights reserved.","Green software multi-sourcing; Industrial survey; Risk mitigation; Solutions/practices; Systematic literature review (SLR)","","Article","Final","","Scopus","2-s2.0-85021934764"
"Jeon, D.; Choi, B.-D.","Jeon, Duhyun (57117269000); Choi, Byongdeok (7402755157)","57117269000; 7402755157","Circuit design of physical unclonable function for security applications in standard CMOS technology","2016","","","","7785216","86","90","0","7","10.1109/EDSSC.2016.7785216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010410330&doi=10.1109%2FEDSSC.2016.7785216&partnerID=40&md5=4a62b7e2c85d4b5206efa306671b8e08","The physical unclonable function (PUF) for generating unique bit strings has been tried using process variations in semiconductor fabrication. It can find various applications in hardware security area such as authentication or secure key storage. The unique secure information should not be changed over time in various environmental conditions such as temperature and supply voltage variations. This requirement is represented by the reliability of a PUF. Most of the previous PUFs are based on the mismatches between two circuit elements such as two transistors with an identical layout. However, in case the mismatches are very minute, the PUF response can be easily affected by changes in the external environments. Moreover, the characteristics can vary with the temperature variation. Some techniques including preselection method and use of error correction code (ECC) have been proposed to overcome this reliability issue, but they need non-volatile memories, and significantly increase the circuit area and the power consumption. On the other hand, the physical-based PUF only makes use of the probability that the conducting layers in a semiconductor chip are physically connected. Once the connection state is determined during a semiconductor process, it is not changed with the temperature or supply voltage variations. The VIA-PUF, one of the physical-based PUFs, can generate the random responses if the via hole size is properly chosen smaller than regulated by the design rule. The VIA-PUF is fabricated in a 0.18μm CMOS process and evaluated with 119 chips, each of which has 2,560 bits. The experiments show that the YIA-PUF shows no bit error throughout 1,000 times repeated measurement for 96 hours at 125 °C. © 2017 Elsevier B.V., All rights reserved.","authentication; Physical unclonable function; process variation; secret key; via formation","Access control; Authentication; CMOS integrated circuits; Data storage equipment; Electron devices; Error correction; Hardware security; Integrated circuit design; Integrated circuit manufacture; Network security; Software design; Solid state devices; Timing circuits; Environmental conditions; Physical unclonable functions (PUF); Process Variation; Secret key; Semi-conductor fabrication; Standard CMOS technology; Supply voltage variation; via formation; Cryptography","Conference paper","Final","","Scopus","2-s2.0-85010410330"
"Farhat, I.; Qadri, M.Y.; Qadri, N.N.; Ahmed, J.","Farhat, Iqra (57190980418); Qadri, Muhammad Yasir (35485284500); Qadri, Nadia Nawaz (26022055100); Ahmed, Jameel (57210456020)","57190980418; 35485284500; 26022055100; 57210456020","Fuzzy Logic-Based DSE Engine: Reconfiguration for Optimization of Multicore Architectures","2016","Journal of Circuits, Systems and Computers","25","12","1650160","","","0","1","10.1142/S0218126616501607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985028944&doi=10.1142%2FS0218126616501607&partnerID=40&md5=c1b809a6b57fa2203e38baf8d186647a","Moore's law has been one of the reason behind the evolution of multicore architectures. Modern multicore architectures offer great amount of parallelism and on-chip resources that remain underutilized. This is partly due to inefficient resource allocation by operating system or application being executed. Consequently the poor resource utilization results in greater energy consumption and less throughput. This paper presents a fuzzy logic-based design space exploration (DSE) approach to reconfigure a multicore architecture according to workload requirements. The target design space is explored for L1 and L2 cache size and associativity, operating frequency, and number of cores, while the impact of various configurations of these parameters is analyzed on throughput, miss ratios for L1 and L2 cache and energy consumption. MARSSx86, a cycle accurate simulator, running various SPALSH-2 benchmark applications has been used to evaluate the architecture. The proposed fuzzy logic-based DSE approach resulted in reduction in energy consumption along with an overall improved throughput of the system. © 2017 Elsevier B.V., All rights reserved.","design space exploration; energy; fuzzy logic; Multicore architecture; throughput","Benchmarking; Cache memory; Computer architecture; Computer circuits; Energy utilization; Reconfigurable hardware; Software architecture; Throughput; Benchmark applications; Cycle-accurate simulators; Design space exploration; energy; Multicore architectures; Operating frequency; Reduction in energy consumption; Resource utilizations; Fuzzy logic","Article","Final","","Scopus","2-s2.0-84985028944"
"Díaz, A.; Sanchez, P.","Díaz, Alvaro (55522887300); Sanchez, Pablo P. (7201504008)","55522887300; 7201504008","Simulation of attacks for security in wireless sensor network","2016","Sensors","16","11","1932","","","0","49","10.3390/s16111932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996523330&doi=10.3390%2Fs16111932&partnerID=40&md5=9516c46125df96a500143e57c7c170ef","The increasing complexity and low-power constraints of current Wireless Sensor Networks (WSN) require efficient methodologies for network simulation and embedded software performance analysis of nodes. In addition,security is also a very important feature that has to be addressed in most WSNs,since they may work with sensitive data and operate in hostile unattended environments. In this paper,a methodology for security analysis of Wireless Sensor Networks is presented. The methodology allows designing attack-aware embedded software/firmware or attack countermeasures to provide security in WSNs. The proposed methodology includes attacker modeling and attack simulation with performance analysis (node’s software execution time and power consumption estimation). After an analysis of different WSN attack types,an attacker model is proposed. This model defines three different types of attackers that can emulate most WSN attacks. In addition,this paper presents a virtual platform that is able to model the node hardware,embedded software and basic wireless channel features. This virtual simulation analyzes the embedded software behavior and node power consumption while it takes into account the network deployment and topology. Additionally,this simulator integrates the previously mentioned attacker model. Thus,the impact of attacks on power consumption and software behavior/execution-time can be analyzed. This provides developers with essential information about the effects that one or multiple attacks could have on the network,helping them to develop more secure WSN systems. This WSN attack simulator is an essential element of the attack-aware embedded software development methodology that is also introduced in this work. © 2018 Elsevier B.V., All rights reserved.","Attack simulation; Power consumption; Security analysis; WSN","Electric power utilization; Embedded software; Low power electronics; Security systems; Sensor nodes; Software design; Attack simulation; Node power consumption; Performance analysis; Power consumption estimation; Security analysis; Security in wireless sensor networks; Software performance; Virtual simulations; Network security","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-84996523330"
"Vilarinho, T.; Farshchian, B.; Wienhofen, L.W.M.; Franang, T.; Gulbrandsen, H.","Vilarinho, Thomas (36706761800); Farshchian, Babak A. (6505893444); Wienhofen, Leendert W.M. (35489502900); Franang, Thomas (57192164602); Gulbrandsen, Hakon (57192163963)","36706761800; 6505893444; 35489502900; 57192164602; 57192163963","Combining persuasive computing and user centered design into an energy awareness system for smart houses","2016","","","","7723467","32","39","0","16","10.1109/IE.2016.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998693452&doi=10.1109%2FIE.2016.14&partnerID=40&md5=aa1c4f1a37ae2244e2f0fa52e6d0b28e","The environmental impacts of the usage of fossil fuels together with its limited supply has been pushing governments, industries and people to seek cleaner and renewable energy supplies and to adopt energy habits leading to a greater sustainability. While acquiring a Photo Voltaic solar panel (PV) is a big step in that direction, much can also be accomplished with changes in individual and collective energy consumption behavior. Moreover both strategies can be used together. This paper presents a software prototype capable of increasing the awareness of the energy consumption in a smart house and supporting a behavior change towards greener consumption habits. The software was developed following the design science research methodology anchored by the application of User Centered Design and the theories of persuasive computing. The development of the User Interface (UI) was done following several iterations with both end-users and experts. In this work, we focus on the UI elements created in order to apply the concepts from different behavior change support methods and theories, such as Feedback, Gamification, and Social norm into energy savings and efficiency. The result was acclaimed during an expert evaluation and will now be trialed in two different trial neighborhoods. © 2017 Elsevier B.V., All rights reserved.","behavior change support systems; energy feedback system; gamification; human computer interaction; persuasive computing; user centered design; user interface","Application programs; Behavioral research; Computation theory; Energy conservation; Energy utilization; Environmental impact; Fossil fuels; Intelligent agents; Software design; Software prototyping; Sustainable development; User centered design; User interfaces; Behavior change supports; Consumption habit; Design-science researches; Energy feedbacks; Expert evaluation; Gamification; Persuasive computing; Renewable energies; Human computer interaction","Conference paper","Final","","Scopus","2-s2.0-84998693452"
"Chen, J.; Venkataramani, G.","Chen, Jie (54410116100); Venkataramani, Guru Prasadh (15833686100)","54410116100; 15833686100","EnDebug: A hardware-software framework for automated energy debugging","2016","Journal of Parallel and Distributed Computing","96","","","121","133","0","9","10.1016/j.jpdc.2016.05.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975472143&doi=10.1016%2Fj.jpdc.2016.05.005&partnerID=40&md5=2283457913e92832bdb40dc52bcebba1","Energy consumption by software applications is one of the critical issues that determine the future of multicore software development. Inefficient software has been often cited as a major reason for wasteful energy consumption in computing systems. Without adequate tools, programmers and compilers are often left to guess the regions of code to optimize, that results in frustrating and unfruitful attempts at improving application energy. In this paper, we propose enDebug, an energy debugging framework that aims to automate the process of energy debugging. It first profiles the application code for high energy consumption using a hardware-software cooperative approach. Based on the observed application energy profile, an automated recommendation system that utilizes artificial selection genetic programming is used to generate the energy optimizing program mutants while preserving functional accuracy. We demonstrate the usefulness of our framework using several Splash-2, PARSEC-1.0 and SPEC CPU2006 benchmarks, where we were able to achieve up to 7% energy savings beyond the highest compiler optimization (including profile guided optimization) settings on real-world Intel Core i7 processors. © 2016 Elsevier B.V., All rights reserved.","Energy optimization; Energy profiling; Genetic programming","Application programs; Computer debugging; Computer programming; Computer systems programming; Energy conservation; Energy utilization; Functional programming; Genetic algorithms; Genetic programming; Hardware; Program compilers; Reconfigurable hardware; Software design; Software engineering; Artificial selection; Compiler optimizations; Energy optimization; Energy profiling; High energy consumption; Optimizing programs; Software applications; Software frameworks; Program debugging","Article","Final","","Scopus","2-s2.0-84975472143"
"Lorenzon, A.F.; Cera, M.C.; Beck, A.C.S.","Lorenzon, Arthur Francisco (59912700600); Cera, Márcia Cristina (15041905200); Beck, Antônio Carlos Schneider (9732411800)","59912700600; 15041905200; 9732411800","Investigating different general-purpose and embedded multicores to achieve optimal trade-offs between performance and energy","2016","Journal of Parallel and Distributed Computing","95","","","107","123","0","22","10.1016/j.jpdc.2016.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994667744&doi=10.1016%2Fj.jpdc.2016.04.003&partnerID=40&md5=c15cd063dc23983bb0c4a39ecbd8872b","Thread-level parallelism (TLP) is being widely exploited in embedded and general-purpose multicore processors (GPPs) to increase performance. However, parallelizing an application involves extra executed instructions and accesses to the shared memory, to communicate and synchronize. The overhead of accessing the shared memory, which is very costly in terms of delay and energy because it is at the bottom of the hierarchy, varies depending on the communication model and level of data exchange/synchronization of the application. On top of that, multicore processors are implemented using different architectures, organizations and memory subsystems. In this complex scenario, we evaluate 14 parallel benchmarks implemented with 4 different parallel programming interfaces (PPIs), with distinct communication rates and TLP, running on five representative multicore processors targeted to general-purpose and embedded systems. We show that while the former presents the best performance and the latter will be the most energy efficient, there is no single option that offers the best result for both. We also demonstrate that in applications with low levels of communication, what matters is the communication model, not a specific PPI. On the other hand, applications with high communication demands have a huge search space that can be explored. For those, Pthreads is the most efficient PPI for Intel Processors, while OpenMP is the best for ARM ones. MPI is the worst choice in almost any scenario, and gets very inefficient as the TLP increases. We also evaluate energy delayxproduct (EDxP), weighting performance towards energy by varying the value of x. In a representative case where energy is the most important, three different processors can be the best alternative for different values of x. Finally, we explore how static power influences total energy consumption, showing that its increase brings benefits to ARM multiprocessors, with the opposite effect for Intel ones. © 2020 Elsevier B.V., All rights reserved.","Embedded and general-purpose processors; Energy; Energy-delay product; Multicore architectures; Performance; Thread-level parallelism exploitation","Application programming interfaces (API); ARM processors; Economic and social effects; Electronic data interchange; Embedded systems; Energy efficiency; Energy utilization; General purpose computers; Information theory; Memory architecture; Parallel processing systems; Parallel programming; Software architecture; Energy; Energy delay product; General purpose processors; Multicore architectures; Performance; Thread level parallelism; Multicore programming","Article","Final","","Scopus","2-s2.0-84994667744"
"Andrade, H.","Andrade, Hugo Sica (57125737200)","57125737200","Investigating software deployment on heterogeneous platforms","2016","","","","7516843","272","276","0","1","10.1109/WICSA.2016.46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983262056&doi=10.1109%2FWICSA.2016.46&partnerID=40&md5=b9225d965022084da9e848b225e5637a","Devices with computing capabilities are everywhere. Physical components that once were restricted to its forms and mechanics to provide functionality have now gained an enormous number of possibilities through the implementation of Embedded Systems (ES). However, together with the advantages of ES come the challenges of dealing with both the increasing complexity of software and the different constraints of hardware. Moreover, it is becoming a common practice to deploy software on computation units of different types (i.e. CPUs, GPUs and FPGAs) in order to optimize data processing and resource utilization. This paper reports on a PhD research project in the area of software deployment on heterogeneous platforms, focusing on how different deployment strategies contribute to achieve certain non-functional properties, such as performance and energy efficiency. As it is important to understand previous practices and acknowledge possible gaps in the research area, a systematic literature review is currently being conducted, and its initial/planning stages are described. Further, recent contributions in the context of data marshalling are also discussed, as well as the planned next steps and the impact of this project in an industrial context. © 2017 Elsevier B.V., All rights reserved.","heterogeneous platforms; non-functional properties; software deployment","Embedded systems; Energy efficiency; Program processors; Reconfigurable hardware; Software architecture; Computing capability; Deployment strategy; Heterogeneous platforms; Non functional properties; Physical components; Resource utilizations; Software deployment; Systematic literature review; Data handling","Conference paper","Final","","Scopus","2-s2.0-84983262056"
"Dhaka, G.; Singh, P.","Dhaka, Garima (57215359462); Singh, Paramvir (57202959177)","57215359462; 57202959177","An empirical investigation into code smell elimination sequences for energy efficient software","2016","Proceedings - Asia-Pacific Software Engineering Conference, APSEC","0","","7890609","349","352","0","14","10.1109/APSEC.2016.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018475303&doi=10.1109%2FAPSEC.2016.057&partnerID=40&md5=9956d965aac82b4ede637241cc23826b","Recent research has shown that maintainability improving activities, such as removing code smells using recommended refactoring activities, may degrade the energy consumption behavior of software systems. However, current research is still immature and requires considerable effort for transferring findings to practice. This work empirically investigates the impact of eliminating a set of three notorious code smells, individually as well as in all six possible sequences, on energy consumption behavior of software systems. It also analyzes whether any relationship exists between software architecture sustainability (in terms of energy efficiency) and maintainability within the context of individual and sequential code smell elimination. The study outcomes show that the selected code smell removal permutations yield variant levels of energy consumption values for the resulted refactored software versions. Also, a particular permutation is learned to yield most energy-efficient refactored software versions, when compared to all other code smell removal permutations. © 2020 Elsevier B.V., All rights reserved.","Code smell; Energy consumption; Green IT; Maintainability; Refactoring; Software architecture; Sustainability","Computer software; Energy efficiency; Energy utilization; Green computing; Maintainability; Odors; Software architecture; Sustainable development; Code smell; Empirical investigation; Energy efficient; Recent researches; Refactorings; Software systems; Software versions; Codes (symbols)","Conference paper","Final","","Scopus","2-s2.0-85018475303"
"Salam, M.; Khan, S.U.","Salam, Muhammad (56992457000); Khan, Siffat Ullah (57191171688)","56992457000; 57191171688","Developing green and sustainable software: Success factors for vendors","2016","Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS","0","","7883248","1059","1062","0","10","10.1109/ICSESS.2016.7883248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016947524&doi=10.1109%2FICSESS.2016.7883248&partnerID=40&md5=86b2db21540f682c2c2c6dfe287ad2d5","Software plays an important role in various aspects of our life. However, recent software development practices have substantial negative impacts (direct and indirect) on economy, society, human beings, and environment. To cope with these issues the concept of Green Software Engineering has boomed recently. Green and sustainable software development aims to create green software that meets the needs of current and future users while minimizing its negative impacts on the environment and society. Green software development is getting attention in Global Software Engineering (GSE). Software development multi-sourcing vendor organizations have focused on the adaptation of green practices in software development projects. The objectives of this study are to identify and scrutinize a list of critical success factors (CSFs) for vendors in the development of green and sustainable software. The required data for conducting the study was taken, via systematic literature review (SLR) process, from a sample of 74 research papers. The SLR findings reveal that 'green software design and efficient coding ', 'power-saving software strategies ', 'low carbon emission throughout the software development process ', 'efficient resource utilization ', 'paperless communication ', 'filtration of requirements through green evaluator and e-waste management' are the critical factors to be implanted by vendors in the development of green and sustainable software. © 2020 Elsevier B.V., All rights reserved.","Critical Success factors (CSFs); Green and sustainable software; Systematic Literature Review; Vendors","Electronic Waste; Sustainable development; Critical success factor; Software development practices; Software development process; Software development projects; Sustainable softwares; Systematic literature review; Systematic literature review (SLR); Vendors; Software design","Conference paper","Final","","Scopus","2-s2.0-85016947524"
"Procaccianti, G.; Fernández, H.; Lago, P.","Procaccianti, Giuseppe (50361812300); Fernández, Héctor (36518420200); Lago, Patricia (56187491900)","50361812300; 36518420200; 56187491900","Empirical evaluation of two best practices for energy-efficient software development","2016","Journal of Systems and Software","117","","","185","198","0","37","10.1016/j.jss.2016.02.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961218303&doi=10.1016%2Fj.jss.2016.02.035&partnerID=40&md5=9d91548542fb1395e9f57a1a00ca1633","Background. Energy efficiency is an increasingly important property of software. A large number of empirical studies have been conducted on the topic. However, current state-of-the-Art does not provide empirically-validated guidelines for developing energy-efficient software. Aim. This study aims at assessing the impact, in terms of energy savings, of best practices for achieving software energy efficiency, elicited from previous work. By doing so, it identifies which resources are affected by the practices and the possible trade-offs with energy consumption. Method. We performed an empirical experiment in a controlled environment, where we applied two different Green Software practices to two software applications, namely query optimization in MySQL Server and usage of ""sleep"" instruction in the Apache web server. We then performed a comparison of the energy consumption at system-level and at resource-level, before and after applying the practice. Results. Our results show that both practices are effective in improving software energy efficiency, reducing consumption up to 25%. We observe that after applying the practices, resource usage is more energy-proportional i.e., increasing CPU usage increases energy consumption in an almost linear way. We also provide our reflections on empirical experimentation in software energy efficiency. Conclusions. Our contribution shows that significant improvements in software energy efficiency can be gained by applying best practices during design and development. Future work will be devoted to further validate best practices, and to improve their reusability. © 2017 Elsevier B.V., All rights reserved.","Best practices; Energy efficiency; Software engineering","Application programs; Economic and social effects; Energy conservation; Energy utilization; Reusability; Software design; Software engineering; Best practices; Controlled environment; Design and Development; Empirical evaluations; Empirical experiments; Query optimization; Software applications; Software practices; Energy efficiency","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-84961218303"
"Oliveira, W.; Torres, W.; Castor, F.; Ximenes, B.H.","Oliveira, Wellington (57195253305); Torres, Weslley (54939041200); Castor, Fernando (54945662000); Ximenes, Bianca Helena (56730883500)","57195253305; 54939041200; 54945662000; 56730883500","Native or web? A preliminary study on the energy consumption of android development models","2016","","1","","7476678","589","593","0","11","10.1109/SANER.2016.93","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035385625&doi=10.1109%2FSANER.2016.93&partnerID=40&md5=c8f7f1ff5f5e204e19566705ad575cb6","Energy consumption has become an increasingly important topic in software development, especially due to the ubiquity of mobile devices, and the choice of programming language can directly impact battery life. This paper presents a study on the issue of energy efficiency on the Android platform, comparing the performance and energy consumption of 33 different benchmarks in the two main programming languages employed in Android development: Java and JavaScript. Preliminary results show that Java applications may consume up to 36.27x more energy, with a median of 2.28x, than their JavaScript counterparts, in benchmarks that are mostly CPU-intensive. In some scenarios, though, Java benchmarks exhibited better energy efficiency, with JavaScript consuming up to 2.27x more energy. Based on these results, two Java applications were re-engineered, and through the insertion of JavaScript functions, hybrid applications were produced. In both cases, improvements in energy efficiency were obtained. Considering that Android apps written in Java are the norm, results from this study indicate that using a combination of JavaScript and Java may lead to a non-negligible improvement in energy efficiency. © 2021 Elsevier B.V., All rights reserved.","","Benchmarking; Energy efficiency; Energy utilization; High level languages; Reengineering; Software design; Android apps; Android platforms; Battery life; CPU-intensive; Development model; Hybrid applications; Java applications; Javascript; Android (operating system)","Conference paper","Final","","Scopus","2-s2.0-85035385625"
"Jagroep, E.; van der Werf, J.M.E.M.; Brinkkemper, S.; Procaccianti, G.; Lago, P.; Blom, L.; van Vliet, R.","Jagroep, Erik A. (54379932600); van der Werf, Jan Martijn (56405278900); Brinkkemper, Sjaak (15043525500); Procaccianti, Giuseppe (50361812300); Lago, Patricia (56187491900); Blom, Leen (57014895100); van Vliet, Rob (57014946400)","54379932600; 56405278900; 15043525500; 50361812300; 56187491900; 57014895100; 57014946400","Software energy profiling: Comparing releases of a software product","2016","Proceedings - International Conference on Software Engineering","","","","523","532","0","27","10.1145/2889160.2889216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013478693&doi=10.1145%2F2889160.2889216&partnerID=40&md5=5a00ca2eb951e252b8403c61e6f23e40","In the quest for energy efficiency of Information and Communication Technology, so far research has mostly focused on the role of hardware. However, as hardware technology becomes more sophisticated, the role of software becomes crucial. Recently, the impact of software on energy consumption has been acknowledged as significant by researchers in software engineering. In spite of that, measuring the energy consumption of software has proven to be a challenge, due to the large number of variables that need to be controlled to obtain reliable measurements. Due to cost and time constraints, many software product organizations are unable to effectively measure the energy consumption of software. This prevents them to be in control over the energy efficiency of their products. In this paper, we propose a software energy profiling method to reliably compare the energy consumed by a software product across different releases, from the perspective of a software organization. Our method allows to attribute differences in energy consumption to changes in the software. We validate our profiling method through an empirical experiment on two consecutive releases of a commercial software product. We demonstrate how the method can be applied by organizations and provide an analysis of the software related changes in energy consumption. Our results show that, despite a lack of precise measurements, energy consumption differences between releases of a software product can be quantified down to the level of individual processes. Additionally, the results provide insights on how specific software changes might affect energy consumption. © 2017 Elsevier B.V., All rights reserved.","Energy efficiency; Profiling; Software architecture; Software product","Energy utilization; Hardware; Software architecture; Software engineering; Commercial software products; Empirical experiments; Information and Communication Technologies; Precise measurements; Profiling; Reliable measurement; Software organization; Software products; Energy efficiency","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85013478693"
"Lee, S.; Lee, T.; Park, H.; Ahn, J.; Yoo, S.; Won, Y.; Lee, S.","Lee, Sungkwang (52663771000); Lee, Taemin (56441852200); Park, Hyunsun (56175684000); Ahn, Junwhan (37048466400); Yoo, Sungjoo (7401970649); Won, Youjip (7102129143); Lee, Sunggu (8841854500)","52663771000; 56441852200; 56175684000; 37048466400; 7401970649; 7102129143; 8841854500","Differential write-conscious software design on phase-change memory: An SQLite case study","2016","ACM Transactions on Design Automation of Electronic Systems","21","3","47","","","0","0","10.1145/2842613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968779534&doi=10.1145%2F2842613&partnerID=40&md5=60fcba0d7ec6f6aebbbb506ea408992c","Phase-change memory (PCM) has several benefits including low cost, non-volatility, byte-addressability, etc., and limitations such as write endurance. There have been several hardware approaches to exploit the benefits while minimizing the negative impact of limitations. Software approaches could give further improvements,when used together with hardware approaches, by taking advantage of write behavior present in the program, e.g., write behavior on dynamically allocated data, which is hardly captured by hardware approaches. This work proposes a software design methodology to reduce costly PCM writes. First, on top of existing hardware approach such as Flip-N-Write, we advocate exploiting the capability of PCM bit-level differential write in the software by judiciously reusing previously allocated memory resource. In order to avoid wear-out incurred by the reuse, we present software-based wear-leveling methods that distribute writes across PCM cells. In order to further reduce PCM writes, we propose identifying data, the loss of which does not affect the functionality of the underlying software, and then diverting write traffic for those data items to volatile memory. To evaluate the effectiveness of these methods, as a case study, we applied the proposed methods to the design of journaling in SQLite, which is an important database application commonly used in smartphones. For the experiments, we used an in-house PCM-based prototype board. Our experiments with four representative mobile applications show that the proposed design methods, which is applied on top of the hardware approach, Flip-N-Write, result in 75.2% further reduction in total bit updates in PCM, on average, without aggravating wear-out compared with the baseline of PCM-based journaling, which is based only on the hardware approach. Also, the proposed design methods result in 49.4% reduction in energy consumption and 52.3% reduction in runtime compared to a typical FIFO management of free resources. © 2016 Elsevier B.V., All rights reserved.","Differential write; Phase change memory; SQLite; Wear leveling","Computer software reusability; Design; Digital storage; Energy utilization; Hardware; Reconfigurable hardware; Software design; Database applications; Differential write; Mobile applications; Phase change memory (pcm); Software approach; Software design methodologies; SQLite; Wear leveling; Phase change memory","Article","Final","","Scopus","2-s2.0-84968779534"
